date;Arconate;Caiolo;Cinisello_PN;Mantova_Lunetta2;Pieve_SGiacomo;Vertemate
13/02/2016;482.79;NA;1315.24;4575.73;3821.64;634.71
14/02/2016;397;NA;497.95;2008.83;915.31;514.71
15/02/2016;551.15;NA;488.78;3292.03;2589.3;414.16
16/02/2016;619.25;1180.64;570.3;5096.18;4516.34;436.37
17/02/2016;2071.83;819.55;1256.23;6129;1613.35;1034.08
18/02/2016;1228.92;437.17;1914;4231.93;3745.28;1655.58
19/02/2016;2681.28;2425.92;1732.19;4183.6;1636.7;1668.35
20/02/2016;4503.11;1275.47;708.62;3515.8;1048.97;1607.97
21/02/2016;1135.82;403.79;2031.71;1266.83;1017.18;1360.59
22/02/2016;527.39;1843.38;354.44;NA;876.74;289.89
23/02/2016;624.13;170.24;831.25;1300.21;1441.72;1020.78
24/02/2016;2111.51;3595.37;2407.83;NA;4068.74;2690.59
25/02/2016;366.81;629.09;411.77;1493.56;869.02;483.59
26/02/2016;1571.26;3434.19;1917.86;4395.38;3094.25;1935.15
27/02/2016;3112.75;606.48;1248.07;9625.88;6591.34;2473.8
28/02/2016;3388.04;612.07;734.82;15742.91;15593.38;2123.21
29/02/2016;1021.14;2944.62;944.3;NA;17896.35;2313
01/03/2016;NA;1707.72;1170.4;1049.24;1568.07;2489.76
02/03/2016;4364;3130.95;2565.57;6811.04;4827.64;2621.43
03/03/2016;2143.96;1057.88;NA;14841.75;9579.99;7182
04/03/2016;2860.96;648.38;526.68;2568.5;1630.45;1168.8
05/03/2016;4044.72;873.81;2077.99;9039.74;9814.6;4751.82
06/03/2016;540.51;418.42;850.45;1426.2;1009.47;689.47
07/03/2016;1033.54;330.11;1172.26;1748.15;2049.53;1785.92
